host_id,neighbourhood,latitude,longitude,room_type,price in $,minimum_nights,availability_365,Apartment_type,City,Rating,No_of_bed_rooms,No_of_beds,No_of_bathrooms,Bathroom_type
3336575.0,Watergraafsmeer,52.3551,4.93262,Entire home/apt,275.0,28.0,3.0,Townhouse,Amsterdam,4.82,4.0,4.0,3.0,private
4614541.0,Centrum-Oost,52.361362,4.890488,Private room,183.0,2.0,216.0,Bed and breakfast,Amsterdam,4.99,1.0,1.0,,private
1406783.0,Oud-Noord,52.38537,4.90241,Entire home/apt,87.0,30.0,267.0,Loft,Amsterdam,4.33,1.0,1.0,1.5,private
4615590.0,Noord-West,52.42379,4.88851,Private room,103.0,2.0,93.0,Bed and breakfast,Amsterdam,4.57,1.0,1.0,1.5,shared
3375589.0,Noord-West,52.41878,4.89397,Entire home/apt,146.0,5.0,282.0,Rental unit,Amsterdam,4.97,1.0,1.0,1.5,private
3971476.0,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,145.0,5.0,3.0,Loft,Amsterdam,4.82,3.0,3.0,2.5,private
5247071.0,Centrum-Oost,52.37042,4.91535,Entire home/apt,150.0,6.0,0.0,Rental unit,Amsterdam,4.67,2.0,2.0,1.0,private
4585922.0,Centrum-Oost,52.362766240472,4.90809768557229,Entire home/apt,459.0,4.0,168.0,Rental unit,Amsterdam,4.81,5.0,5.0,2.0,private
3205205.0,De Pijp - Rivierenbuurt,52.35082,4.8877,Entire home/apt,279.0,6.0,0.0,Rental unit,Amsterdam,4.73,1.0,1.0,1.0,private
22642887.0,Centrum-Oost,52.367889404296896,4.9034948348999,Entire home/apt,614.0,3.0,59.0,Condo,Amsterdam,4.94,1.0,1.0,1.5,private
4614541.0,Centrum-Oost,52.3613624572754,4.8904881477356,Private room,238.0,2.0,228.0,Bed and breakfast,Amsterdam,4.98,,1.0,1.5,private
2309485.0,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,95.0,1.0,19.0,Rental unit,Amsterdam,4.67,1.0,1.0,,private
4415881.0,Westerpark,52.381615,4.877059,Private room,89.0,5.0,11.0,Rental unit,Amsterdam,4.8,1.0,1.0,1.5,private
3332206.0,De Pijp - Rivierenbuurt,52.3418,4.91066,Private room,,5.0,222.0,Rental unit,Amsterdam,4.71,1.0,1.0,1.5,private
5489703.0,Centrum-Oost,52.3643,4.89533,Entire home/apt,153.0,2.0,0.0,Condo,Amsterdam,4.85,2.0,2.0,1.5,private
3498674.0,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,84.0,4.0,292.0,Home,Amsterdam,4.81,1.0,1.0,1.5,shared
4684314.0,De Aker - Nieuw Sloten,52.343079,4.788886,Private room,,2.0,205.0,Guest suite,Amsterdam,4.92,1.0,1.0,,private
2272095.0,Centrum-Oost,52.3737,4.92581,Entire home/apt,120.0,14.0,47.0,Rental unit,Amsterdam,4.74,1.0,1.0,1.5,private
5527871.0,Westerpark,52.37367,4.87394,Entire home/apt,145.0,5.0,52.0,Rental unit,Amsterdam,5.0,1.0,1.0,1.0,private
4698057.0,Noord-Oost,52.38462,5.01234,Entire home/apt,110.0,3.0,120.0,Chalet,Amsterdam,4.66,2.0,2.0,1.0,private
5530981.0,Oud-Oost,52.35781,4.91027,Private room,129.0,3.0,217.0,Rental unit,Amsterdam,4.8,2.0,2.0,1.0,shared
3529778.0,Centrum-West,52.374,4.89902,Private room,,2.0,253.0,Loft,Amsterdam,4.51,1.0,1.0,1.5,shared
4724613.0,Zuid,52.35637,4.85373,Entire home/apt,445.0,3.0,231.0,Rental unit,Amsterdam,4.89,2.0,2.0,2.0,private
3548522.0,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,,1.0,0.0,Rental unit,Amsterdam,4.73,2.0,2.0,1.0,private
3523553.0,Westerpark,52.37998,4.86959,Private room,141.0,3.0,252.0,Boat,Amsterdam,4.75,1.0,1.0,1.5,private
4443157.0,Slotervaart,52.36369,4.83861,Private room,92.0,2.0,10.0,Rental unit,Amsterdam,4.68,1.0,1.0,1.0,private
4579810.0,Westerpark,52.38875,4.87835,Entire home/apt,144.0,5.0,0.0,Rental unit,Amsterdam,4.7,1.0,1.0,1.0,private
4473576.0,Centrum-Oost,52.36181,4.88783,Private room,136.0,3.0,0.0,Rental unit,Amsterdam,4.61,1.0,1.0,,private
3556421.0,Centrum-West,52.37276,4.89707,Private room,80.0,2.0,1.0,Rental unit,Amsterdam,4.83,1.0,1.0,1.5,shared
4773348.0,Westerpark,52.37342,4.8693,Entire home/apt,375.0,3.0,293.0,Houseboat,Amsterdam,4.94,1.0,1.0,1.0,private
